Số báo danh,Khối Thi,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa lý,GDCD
01059062,khtn,8.4,9,1.4,8.5,2.75,5.75,-1,-1,-1
01059063,khtn,8.2,4.75,2,7.5,4,6.25,-1,-1,-1
01059064,khtn,7.8,6,3.2,7.25,4.5,7,-1,-1,-1
01059065,khtn,7.8,6.5,2.8,6.5,3.25,7.5,-1,-1,-1
01059066,khtn,8.8,8.25,5.2,5.5,8.5,6.25,-1,-1,-1
01059067,khxh,6.2,8.5,7,-1,-1,-1,6.75,5.8,8
01059068,khxh,7.6,7.5,6.75,-1,-1,-1,5.75,4.4,5.5
01059069,khtn,8,5,6.8,7.25,3,7,-1,-1,-1
01059070,khtn,8.4,7.75,4.4,4.5,8.75,7.25,-1,-1,-1
01059071,khtn,8.2,5.25,2.4,7,4.25,5.25,-1,-1,-1
01059072,khtn,6.8,7.75,3.4,8,5,6.5,-1,-1,-1
01059073,khtn,6.8,7.25,4,4.75,5,6.5,-1,-1,-1
01059074,khtn,9.6,6.5,9,9.25,5.25,7.25,-1,-1,-1
01059075,khtn,6,2.5,5.6,6,2,6.25,-1,-1,-1
01059076,khtn,9,8.25,3.4,8.75,3.5,4,-1,-1,-1
01059077,khtn,7.6,4.5,7.8,6.75,5.25,5,-1,-1,-1
01059078,khtn,8.6,8.5,4.6,7.75,3,7,-1,-1,-1
01059079,khtn,7.2,3.5,3.8,6,6.5,6.75,-1,-1,-1
01059080,khtn,8.6,2.75,6.2,6,4.5,5.75,-1,-1,-1
01059081,khtn,7,6.75,4.8,2,3.25,6.75,-1,-1,-1
01059082,khtn,8,7.5,5.6,8,4.75,6.25,-1,-1,-1
01059083,khtn,7.2,8.25,2,8.25,3.25,7.25,-1,-1,-1
01059084,khtn,8.4,4,6.4,6.25,4,5.5,-1,-1,-1
01059085,khxh,8.4,8.5,6.75,-1,-1,-1,6.75,9.6,7.5
01059086,khtn,8.2,3.5,8.2,5.25,4.25,5,-1,-1,-1
01059087,khtn,8.8,8.5,7.4,8.25,4.5,5.25,-1,-1,-1
01059088,khtn,8.8,8.25,8.6,1.75,2,4.75,-1,-1,-1
01059089,khtn,8.2,5.75,9.4,9,3,5.75,-1,-1,-1
01059090,khtn,8.2,8.25,5.2,7.75,3.75,8.25,-1,-1,-1
01059091,khtn,8,5.25,5.4,7.5,4.5,5.75,-1,-1,-1
01059092,khtn,7.8,1.75,7.4,6.5,3.25,5.5,-1,-1,-1
01059093,khtn,7.6,7.75,2.4,5,4,5.75,-1,-1,-1
01059094,khtn,8.6,8.75,3.6,9.25,3.5,4.25,-1,-1,-1
01059095,khtn,6.6,3.25,3.6,3.25,4,5.25,-1,-1,-1
01059096,khtn,8.8,9.5,6,8.25,5.5,5.75,-1,-1,-1
01059097,khtn,8.2,7.25,5,5.5,6.25,7.25,-1,-1,-1
01059098,khxh,8.6,9,8.25,-1,-1,-1,8,9.8,8.75
01059099,khtn,9,8.5,5,4.25,5.75,6,-1,-1,-1
01059100,khtn,8.2,8,6.4,5.25,5.5,6.5,-1,-1,-1
01059101,khtn,8,6.75,3.4,7.25,2.25,6.75,-1,-1,-1
01059102,khtn,7,3.5,4.2,3.5,3.75,4,-1,-1,-1
01059103,khtn,8,8,3.4,7,3.5,4,-1,-1,-1
01059104,khtn,7.6,7.75,5,8.75,4.5,7,-1,-1,-1
01059105,khtn,9,9.25,5.8,7.75,3.75,8,-1,-1,-1
01059106,khxh,6.4,8.25,6.25,-1,-1,-1,6.75,3.6,8.25
01059107,khtn,8.2,2.5,8.6,8.75,3.75,7.25,-1,-1,-1
01059108,khxh,5,7.75,4.5,-1,-1,-1,6.5,3.4,6.25
01059109,khxh,4.4,7,6.25,-1,-1,-1,6,3,8
01059110,khtn,8.2,7.25,4,5.75,5,7.25,-1,-1,-1
01059111,khxh,8.8,8.5,9,-1,-1,-1,7,7.6,9.75
01059112,khxh,3.8,7.75,6.25,-1,-1,-1,6.25,2.4,8
01059113,khxh,7.4,9,3.5,-1,-1,-1,5,8.4,6.25
01059114,khxh,2.4,7,4.75,-1,-1,-1,7.75,2.8,8.5
01059115,khxh,4.6,5.25,5.75,-1,-1,-1,5.75,1.6,8.25
01059116,khxh,6.2,9,8.75,-1,-1,-1,8.25,3.2,9.25
01059117,khxh,6.8,7,5.25,-1,-1,-1,6.75,3,5.75
01059118,khtn,6.4,3.75,8,7,3.5,5.25,-1,-1,-1
01059119,khxh,5.6,5,7.75,-1,-1,-1,7.25,3.2,7.5
01059120,khtn,9,8.25,5,8.25,4.25,6.75,-1,-1,-1
01059121,khxh,6.4,8.25,9.5,-1,-1,-1,9.25,4.6,8.75
01059122,khxh,6.6,7.75,4,-1,-1,-1,5.5,5.4,8
01059123,khxh,7.2,6,6,-1,-1,-1,6.75,3.6,9
01059124,khxh,7.8,6.75,5,-1,-1,-1,5,5.8,7.25
01059125,khxh,8.4,9,7,-1,-1,-1,7,9.6,8.5
01059126,khxh,6.8,4.5,7.5,-1,-1,-1,7.75,2.8,8.75
01059127,khxh,8.8,8,7,-1,-1,-1,8.25,9.2,9
01059128,khxh,7,6.5,6.5,-1,-1,-1,7.75,3,6.75
01059129,khxh,4.6,7.75,6.75,-1,-1,-1,7,3,8.75
01059130,khtn,7.4,8.75,5.2,7.75,5,6.75,-1,-1,-1
01059131,khxh,7,8,6.25,-1,-1,-1,5.5,6.4,6.5
01059132,khxh,6.4,7.75,3.25,-1,-1,-1,6.25,2.8,7.75
01059133,khxh,4,8.25,5.25,-1,-1,-1,6.25,2.4,7.25
01059134,khxh,6,7.25,7.75,-1,-1,-1,5.75,2.2,8.75
01059135,khtn,8.6,8.5,8.6,8.5,7.75,7.5,-1,-1,-1
01059136,khxh,6.6,8.75,8,-1,-1,-1,8.75,3,8.75
01059137,khtn,6.4,4,4.2,6.5,2.5,5,-1,-1,-1
01059138,khxh,7,6.75,6,-1,-1,-1,5.5,4,6.5
01059139,khtn,8.4,9,5,8.5,3.75,7.5,-1,-1,-1
01059140,khxh,5.4,6,4.5,-1,-1,-1,5.5,3.4,7
01059141,khxh,7.4,8.25,8,-1,-1,-1,7,3.6,8.75
01059142,khxh,4,6.25,6,-1,-1,-1,4.5,4.2,6.75
01059143,khxh,6.2,6,8.25,-1,-1,-1,8.75,2,8
01059144,khxh,5.2,6.25,7,-1,-1,-1,6,2.8,8.25
01059145,khxh,5.8,7.25,7,-1,-1,-1,7.25,2.8,9.25
01059146,khxh,8.2,7,5.75,-1,-1,-1,6.5,3.8,8.75
01059147,khxh,7,6,7.25,-1,-1,-1,5.25,2.8,8
01059148,khxh,6.2,6.75,4.75,-1,-1,-1,7.25,3.6,8.25
01059149,khxh,8,7.75,7.25,-1,-1,-1,7.75,8.4,8.25
01059150,khxh,4.6,7,7.75,-1,-1,-1,6.5,3,7.5
01059151,khxh,5,6,5.5,-1,-1,-1,6.25,3.4,7.25
01059152,khxh,5.2,6,4.75,-1,-1,-1,7.25,2.2,4.75
01059153,khxh,5.4,6.75,6,-1,-1,-1,4.5,2.4,7
01059154,khxh,4.8,7.25,5,-1,-1,-1,5,2.8,7
01059155,khxh,8,7.25,4.5,-1,-1,-1,4.75,4.6,5.25
01059156,khxh,2,6.25,5,-1,-1,-1,6.25,3.8,7.25
01059157,khxh,7.6,9,8.25,-1,-1,-1,7.25,6.2,8.5
01059158,khxh,7.2,9.25,4.75,-1,-1,-1,6,6,7.5
01059159,khxh,4.4,6.5,5.5,-1,-1,-1,6,4.6,7.75
01059160,khxh,5,8.75,6.75,-1,-1,-1,8.75,4.6,8
01059161,khxh,4,8.5,6.75,-1,-1,-1,6.25,3.2,7
01059162,khxh,4.8,7.25,7.75,-1,-1,-1,5.75,6.2,8.25
01059163,khxh,8.4,8.75,8.5,-1,-1,-1,7.75,9,8.5
01059164,khxh,4.8,5.75,8,-1,-1,-1,7.25,2.2,7.5
01059165,khxh,5.6,7.5,5.5,-1,-1,-1,6.5,3,6.5
01059166,khxh,8,9,6.25,-1,-1,-1,6.75,8.8,7.5
01059167,khxh,4.8,5.5,7,-1,-1,-1,6.25,4.4,7.5
01059168,khxh,4.2,6,6.75,-1,-1,-1,7,3.8,8
01059169,khxh,3.4,4.75,2.5,-1,-1,-1,3.75,2.8,5.25
01059170,khxh,7.6,8,7.75,-1,-1,-1,6.75,7.6,8.5
01059171,khxh,5,6.5,5.5,-1,-1,-1,5.25,3.4,6.75
01059172,khxh,3.8,6.5,4,-1,-1,-1,4.75,2.8,4.75
01059173,khxh,6.4,7,6,-1,-1,-1,4.75,4,7.25
01059174,khxh,7.4,5.75,6,-1,-1,-1,6.25,4.8,7
01059175,khxh,6.6,6.25,6,-1,-1,-1,5.75,4,7.25
01059176,khxh,7.4,8,6.5,-1,-1,-1,6.75,2.6,6.75
01059177,khxh,5.6,8.25,7.25,-1,-1,-1,7,2.6,8
01059178,khxh,6.2,8.5,6.5,-1,-1,-1,6.5,5.8,9
01059179,khxh,5,5.75,5,-1,-1,-1,6.5,2.4,7.5
01059180,khxh,7.6,8.5,8.25,-1,-1,-1,7,4.8,8.25
01059181,khxh,6.2,6,5.75,-1,-1,-1,6.75,3.2,5.75
01059182,khxh,5.4,7.5,7.25,-1,-1,-1,7.75,5.4,7.5
01059183,khxh,6.6,7,4.25,-1,-1,-1,6,2.4,7.75
01059184,khxh,6.8,7.75,5.5,-1,-1,-1,6.5,3,6.5
01059185,khxh,6,8.75,8.5,-1,-1,-1,8.5,3.6,8.75
01059186,khxh,7.8,7.5,7.75,-1,-1,-1,6.75,3.4,7.25
01059187,khxh,5.8,8.5,5,-1,-1,-1,4.75,2.8,7.5
01059188,khxh,8,6.5,8.25,-1,-1,-1,7.75,2.4,8.75
01059189,khxh,4.8,8.75,8.5,-1,-1,-1,8.75,7,8.5
01059190,khxh,7.6,8.75,5.5,-1,-1,-1,5.5,8.2,6.75
01059191,khxh,8,8.75,6.25,-1,-1,-1,8.5,7.8,7.25
01059192,khxh,7.8,9.25,6.75,-1,-1,-1,7.5,8.2,8.25
01059193,khxh,4.8,5.75,7.75,-1,-1,-1,7,2.2,7.75
01059194,khxh,6.2,6.25,5.5,-1,-1,-1,6.75,5.8,9
01059195,khxh,6,7.5,5.75,-1,-1,-1,5,2.8,7.25
01059196,khxh,4.4,6.25,8.75,-1,-1,-1,7.75,3,7.75
01059197,khxh,8,8.5,8.75,-1,-1,-1,8.25,7.4,8.5
01059198,khxh,7.8,7,3.75,-1,-1,-1,5.25,6,7.25
01059199,khxh,5,5.75,5,-1,-1,-1,6.5,3.6,7.75
01059200,khxh,7.4,9.5,7,-1,-1,-1,5,8.2,8
01059201,khxh,7.2,6.5,6.5,-1,-1,-1,6.25,3.4,7.25
01059202,khxh,5.2,6.75,4.75,-1,-1,-1,6.5,3.2,6.75
01059203,khxh,5.8,8,5.75,-1,-1,-1,5.5,5.2,7.75
01059204,khxh,2.2,7.25,3.25,-1,-1,-1,4.75,1.6,6.5
01059205,khxh,6.2,5.25,6,-1,-1,-1,5.75,2.6,7.5
01059206,khxh,6.2,6.75,6,-1,-1,-1,7,5.2,8
01059207,khxh,5.2,6.75,7.75,-1,-1,-1,7.5,3.2,7.25
01059208,khxh,7.8,8.75,6,-1,-1,-1,6.5,5.6,8.5
01059209,khxh,7.8,9,7.5,-1,-1,-1,7.5,8.8,8.5
01059210,khxh,6.8,8.75,9.25,-1,-1,-1,8.25,4,8.75
01059211,khxh,8.8,8.75,7.25,-1,-1,-1,5.75,8.8,8.25
01059212,khxh,7.2,8.75,8,-1,-1,-1,7,7.4,7.75
01059213,khxh,6.4,6.5,4.75,-1,-1,-1,5,3,7.25
01059214,khxh,5.4,8.25,5.25,-1,-1,-1,5.75,4.8,8
01059215,khxh,5.4,7.75,7.75,-1,-1,-1,7,4.8,8
01059216,khxh,7.4,8.75,8.75,-1,-1,-1,7.75,8,8.75
01059217,khxh,6.4,7,6.75,-1,-1,-1,5.5,5.2,6.75
01059218,khxh,4.6,6.25,7.75,-1,-1,-1,7,4.2,9.25
01059219,khxh,5,6.5,4,-1,-1,-1,4.5,3,6.75
01059220,khxh,5.6,7.25,6.75,-1,-1,-1,5.5,2.8,7.5
01059221,khxh,4,8.25,4.75,-1,-1,-1,5.5,3.8,7
01059222,khxh,4,5.5,5.25,-1,-1,-1,5,3.6,7.5
01059223,khxh,7.6,7.25,5.75,-1,-1,-1,5.5,4,6.75
01059224,khxh,4.8,5.5,5,-1,-1,-1,5.75,3,7.5
01059225,khxh,5.4,6,6.75,-1,-1,-1,7.25,2.6,8
01059226,khxh,5.2,5.25,8,-1,-1,-1,7,2.8,8.25
01059227,khxh,4,5,5.5,-1,-1,-1,6.5,2.8,7
01059228,khxh,6.4,6.5,5.25,-1,-1,-1,6.25,2,6.5
01059229,khxh,6.6,5.75,5.75,-1,-1,-1,7.25,3,6.75
01059230,khxh,7.4,7.25,7,-1,-1,-1,7,3.8,8
01059231,khxh,6.2,7,4.75,-1,-1,-1,6,3.6,7
01059232,khxh,3.2,4.25,5,-1,-1,-1,6.25,2,9.25
01059233,khxh,6.4,7,5.5,-1,-1,-1,6.75,3.6,9.25
01059234,khxh,4,7,6,-1,-1,-1,4.5,2.8,7
01059235,khxh,6.6,4.25,7,-1,-1,-1,6.75,9,7.5
01059236,khxh,6.8,6.75,7.75,-1,-1,-1,8.25,3.2,7.5
01059237,khxh,3.6,5,6.25,-1,-1,-1,6,2.2,7.75
01059238,khxh,2.8,5.5,4.5,-1,-1,-1,5.25,2.2,7
01059239,khxh,4.8,7,4.25,-1,-1,-1,4.75,3,7.25
01059240,khxh,5,7.25,6,-1,-1,-1,6.75,3.8,9.5
01059241,khxh,6.4,6.75,5,-1,-1,-1,6.25,3.2,8.5
01059242,khxh,4.6,4.75,6.75,-1,-1,-1,5.75,5.8,7.75
01059243,khxh,5,5.25,5,-1,-1,-1,6.25,2.6,8.75
01059244,khxh,5.6,8,7.75,-1,-1,-1,6,4,7
01059245,khxh,6.4,6.25,7,-1,-1,-1,6.25,3.8,7.5
01059246,khxh,5.8,6.5,5.75,-1,-1,-1,5.25,4.2,7.25
01059247,khxh,3.8,5.5,7.25,-1,-1,-1,6.5,3.8,7.5
01059248,khxh,6.4,6,5.25,-1,-1,-1,6.5,2.6,7.75
01059249,khxh,4,7.75,8.25,-1,-1,-1,8.25,1.6,6
01059250,khxh,3.6,7,6.25,-1,-1,-1,6.5,2.2,5.75
01059251,khxh,5.4,8.25,5.75,-1,-1,-1,7,2.4,5.75
01059252,khxh,8,5.5,8,-1,-1,-1,7.5,4.4,8.25
01059253,khxh,6.4,8,6.25,-1,-1,-1,7.75,3.8,9
01059254,khxh,5.4,5.75,5.75,-1,-1,-1,7.25,2.8,7.5
01059255,khxh,4,4.25,4,-1,-1,-1,5.75,3.2,7.25
01059256,khxh,2.6,4.25,4.25,-1,-1,-1,3.75,2.2,6.5
01059257,khxh,3.2,5.25,2.25,-1,-1,-1,6.75,3,7.5
01059258,khxh,8.6,5.75,8,-1,-1,-1,7.75,3.8,9.75
01059259,khxh,4.6,6.25,4.5,-1,-1,-1,4.75,2.8,7.5
01059260,khxh,5.6,6.5,7,-1,-1,-1,5.25,3,7.75
01059261,khxh,6.4,6.5,7.25,-1,-1,-1,6.75,3,8.5
01059262,khxh,7.8,8.5,9,-1,-1,-1,7.25,7,7
01059263,khxh,6.6,7.5,9.5,-1,-1,-1,7,2.8,8.5
01059264,khxh,5.8,7,5.5,-1,-1,-1,7.25,3.2,7.75
01059265,khxh,2,5,2.75,-1,-1,-1,4.75,2.2,4.5
01059266,khxh,1.2,4.25,5,-1,-1,-1,5.25,4,6.5
01059267,khxh,3.4,6.75,5.25,-1,-1,-1,6.75,2.6,8.5
01059268,khxh,3.6,4.75,4.25,-1,-1,-1,4.25,1.8,5.5
01059269,khxh,6.2,6.5,5,-1,-1,-1,6,3.6,7.25
01059270,khxh,8.2,8.75,8.5,-1,-1,-1,8.25,5.4,8.75
01059271,khxh,7.8,8,5.75,-1,-1,-1,7.5,4.6,8.5
01059272,khxh,2.6,5.75,5.25,-1,-1,-1,6,2.8,7.5
01059273,khxh,8.6,8,8,-1,-1,-1,8.25,9.4,9
01059274,khxh,8,8,7.5,-1,-1,-1,8.25,5.6,8.75
01059275,khxh,6.4,7.5,5.75,-1,-1,-1,7,5.8,7
01059276,khxh,6,6.75,4.75,-1,-1,-1,5.5,3.6,6.5
01059277,khxh,6,5.5,4,-1,-1,-1,6,3.8,8.25
01059278,khxh,3.6,8,3.75,-1,-1,-1,5.75,2.6,6.5
01059279,khxh,7.6,9.75,6.25,-1,-1,-1,6,9,7.25
01059280,khxh,7,7.75,7.25,-1,-1,-1,6.75,4.8,6.75
01059281,khxh,5.6,6.75,9.25,-1,-1,-1,7.25,3.2,7.25
01059282,khxh,6,8,7,-1,-1,-1,6.75,2.8,8.5
01059283,khxh,7.2,5.5,6,-1,-1,-1,6.25,3.2,8.75
01059284,khxh,7.4,8.75,8,-1,-1,-1,6.75,4.6,8.75
01059285,khxh,6.8,8,6.5,-1,-1,-1,8.5,3.4,9.25
01059286,khxh,5,5.75,7,-1,-1,-1,8.25,4.8,7.5
01059287,khxh,5.8,7,4.5,-1,-1,-1,7.5,2.8,8.5
01059288,khxh,7.8,8,7,-1,-1,-1,5.75,6.2,6
01059289,khxh,8,8.25,7.25,-1,-1,-1,7,6.8,7.25
01059290,khxh,8,8.75,6,-1,-1,-1,7.5,8.2,8.75
01059291,khxh,7.2,6.25,6.5,-1,-1,-1,4.75,4.4,8.5
01059292,khxh,8.4,9,7.25,-1,-1,-1,6.5,7.6,7.75
01059293,khxh,5.2,8.25,6.25,-1,-1,-1,8.5,2.6,7.75
01059294,khxh,6.6,8,9,-1,-1,-1,7.25,7,8.75
01059295,khxh,6,8.25,4,-1,-1,-1,6.25,4.2,7.25
01059296,khxh,8,7.5,8,-1,-1,-1,7,8,9
01059297,khxh,5.8,6.75,9,-1,-1,-1,8.5,3.4,7.5
01059298,khxh,4,6.25,5,-1,-1,-1,6,2.6,8
01059299,khxh,4.4,8,6.25,-1,-1,-1,4.75,2.8,7.25
01059300,khxh,8,8.5,7.5,-1,-1,-1,8.5,7.6,9.25
01059301,khxh,4.6,6.75,3.75,-1,-1,-1,6.5,2.4,9
01059302,khxh,2.6,8.75,7.75,-1,-1,-1,7,2,6.25
01059303,khxh,6.8,8,6.25,-1,-1,-1,6,6.2,8
01059304,khxh,5.4,7,8.25,-1,-1,-1,7.5,2.4,8.75
01059305,khxh,5.4,7.25,7,-1,-1,-1,6,2.6,6.5
01059306,khxh,7.2,8,6.75,-1,-1,-1,6.75,5.2,7.5
01059307,khxh,3.6,7.75,8,-1,-1,-1,6,3,7.5
01059308,khxh,5.2,8.5,5.5,-1,-1,-1,6.75,3.8,7.25
01059309,khxh,7.4,9,6.25,-1,-1,-1,7.5,8.6,9
01059310,khxh,6.8,7.75,6.75,-1,-1,-1,5.5,8,7.5
01059311,khxh,7.4,8.5,7,-1,-1,-1,7.25,5,8
01059312,khxh,4.8,6.5,7.25,-1,-1,-1,6.25,4,8
01059313,khxh,1.8,6.25,6.75,-1,-1,-1,6,3.2,8.25
01059314,khxh,5.8,5.5,5,-1,-1,-1,6.25,2.8,6.25
01059315,khxh,4.2,7,8,-1,-1,-1,7.25,4.4,8
01059316,khxh,7.6,7.75,5.75,-1,-1,-1,6.5,7.4,6.75
01059317,khxh,3.8,4,4.5,-1,-1,-1,6.5,3.6,6.5
01059318,khxh,4.8,5,2.5,-1,-1,-1,5.25,2.8,8
01059319,khxh,7.2,5,8.5,-1,-1,-1,7,2.4,7.25
01059320,khxh,6.4,6,7.5,-1,-1,-1,7.5,2.2,7.25
01059321,khxh,6.8,5.25,8.75,-1,-1,-1,8,2.8,8.75
01059322,khxh,7.8,7.5,7.5,-1,-1,-1,7.75,7,8.5
01059323,khxh,7,5,5.5,-1,-1,-1,6,2.4,8.25
01059324,khxh,3.8,4.75,4.25,-1,-1,-1,5.5,2.2,6.25
01059325,khxh,6.4,6,6.75,-1,-1,-1,6.5,1.8,7.75
01059326,khxh,6.6,6.75,6.75,-1,-1,-1,6.25,1.8,6.25
01059327,khxh,3.4,6.5,5,-1,-1,-1,7,4.2,7.75
01059328,khxh,3.6,7.25,8,-1,-1,-1,8.25,3.8,8
01059329,khxh,6.8,7.25,9.25,-1,-1,-1,8,4,9.25
01059330,khxh,8.2,8,6.5,-1,-1,-1,7.75,7.6,8
01059331,khxh,6.2,7.5,8.5,-1,-1,-1,7.25,7.6,8
01059332,khxh,6.2,7,7.5,-1,-1,-1,7.75,2.6,8.75
01059333,khxh,7.6,6.25,8.75,-1,-1,-1,8.25,3,9
01059334,khxh,5.8,7.75,7.25,-1,-1,-1,5.75,2.4,7
01059335,khxh,6,5,5,-1,-1,-1,6,1.4,7.5
01059336,khxh,5,3,4.75,-1,-1,-1,5,3.8,7.5
01059337,khxh,7.6,8,8,-1,-1,-1,7.5,4.2,8.5
01059338,khxh,4,4.25,4.5,-1,-1,-1,4.5,3.2,5.75
01059339,khxh,7,8.25,6.25,-1,-1,-1,5.75,5.8,8
01059340,khtn,8.2,8.5,5.4,6.75,4,6.5,-1,-1,-1
01059341,khtn,9,8.5,8.8,7.5,8.75,8,-1,-1,-1
01059342,khtn,8.4,8.75,4.4,7.5,3.5,5.75,-1,-1,-1
01059343,khtn,7.4,6,4.2,7.75,2.75,7.25,-1,-1,-1
01059344,khtn,8.6,9.25,8.8,5,5.5,7,-1,-1,-1
01059345,khtn,7.6,7.75,5.2,8,6.5,6.5,-1,-1,-1
01059346,khtn,8.8,3.5,7.6,8,4.25,5.5,-1,-1,-1
01059347,khtn,8.2,8,6,5.25,5.5,6.75,-1,-1,-1
01059348,khtn,8.6,8,5.4,8.25,4.25,7.25,-1,-1,-1
01059349,khtn,5.4,6.25,2.2,7,4,6,-1,-1,-1
01059350,khtn,9,4.5,8.2,9.25,3.75,7.5,-1,-1,-1
01059351,khtn,8.6,9,4,8.5,3.5,8,-1,-1,-1
01059352,khxh,8.2,8.5,8.5,-1,-1,-1,7.25,7.2,9
01059353,khxh,5.2,6.5,3,-1,-1,-1,6.5,3.6,7
01059354,khxh,7.4,8.75,6.5,-1,-1,-1,6.25,5.8,9.25
01059355,khxh,6.4,7.5,5.25,-1,-1,-1,6.75,2.6,9.75
01059356,khxh,5.8,8.75,6,-1,-1,-1,4.75,4.8,7.5
01059357,khxh,5.6,7,5,-1,-1,-1,5.25,2.6,7.25
01059358,khxh,7,7.25,6,-1,-1,-1,7.25,3,7
01059359,khxh,6.6,6.5,8.25,-1,-1,-1,6.5,8.2,9
01059360,khxh,5.2,7,7.75,-1,-1,-1,7.5,5.4,8
01059361,khxh,6.4,6.5,8,-1,-1,-1,6.75,2,6.75
01059362,khxh,4.2,5,6.5,-1,-1,-1,7.25,2,8
01059363,khxh,4.6,7.5,5.5,-1,-1,-1,6.25,3.8,6.75
01059364,khxh,6.6,6.75,9.75,-1,-1,-1,7.5,4.6,9.5
01059365,khxh,7,6.75,9,-1,-1,-1,8,3.8,9.25
01059366,khxh,6,5.5,5,-1,-1,-1,5.5,2.4,7
01059367,khxh,7.6,9,8.75,-1,-1,-1,7.5,7,8.75
01059368,khxh,6.2,6.5,5,-1,-1,-1,5.75,2.4,7.5
01059369,khxh,7.6,9,5.75,-1,-1,-1,6,5.4,8
01059370,khxh,5.8,6.75,6,-1,-1,-1,5.5,2.4,7.5
01059371,khxh,7.6,7,7,-1,-1,-1,8,3.6,7.25
01059372,khxh,5.6,6.5,7.25,-1,-1,-1,7.5,3.2,8
01059373,khxh,8.6,8,6.25,-1,-1,-1,8,6.6,8.25
01059374,khxh,8,8.5,6.25,-1,-1,-1,6,8,8.25
01059375,khxh,7.6,7.75,6.5,-1,-1,-1,7.5,8.2,8
01059376,khxh,8.2,7.25,8.25,-1,-1,-1,6.5,9.2,9
01059377,khxh,7.4,6.5,7.5,-1,-1,-1,8,4.8,7.75
01059378,khxh,6,7.25,6.25,-1,-1,-1,7,4,6.75
01059379,khxh,6.6,6.75,3.75,-1,-1,-1,6.25,1.2,7.25
01059380,khxh,7.6,6.75,5.25,-1,-1,-1,6.25,7,7.25
01059381,khxh,4,7.75,6.75,-1,-1,-1,5,6.2,8.25
01059382,khxh,7.4,7.75,8,-1,-1,-1,4.5,7.2,8
01059383,khxh,5,7.25,4.5,-1,-1,-1,5.75,2.6,7.5
01059384,khxh,7.8,7,6.25,-1,-1,-1,7.5,6.6,8
01059385,khxh,6.8,6.75,7.25,-1,-1,-1,5.25,4.4,8.25
01059386,khxh,6.6,6.75,6.5,-1,-1,-1,6.25,6.2,7.25
01059387,khxh,5.8,5.75,3.75,-1,-1,-1,5.25,4.4,6.75
01059388,khxh,6,8.25,8,-1,-1,-1,8.25,3.6,8.5
01059389,khxh,6.8,7.5,5,-1,-1,-1,6.25,6.2,6.75
01059390,khxh,7.2,7,9.5,-1,-1,-1,8.5,3.4,9
01059391,khxh,6.8,6.25,5.75,-1,-1,-1,6,3.4,6.25
01059392,khxh,3.6,7.25,4.5,-1,-1,-1,4.5,3,7.25
01059393,khxh,7.2,9,7,-1,-1,-1,6.25,5.8,7.5
01059394,khxh,4.8,8.75,8.5,-1,-1,-1,8.25,5.4,8.25
01059395,khxh,8,7.25,3.5,-1,-1,-1,4.75,4,8.25
01059396,khxh,7.4,7,3.5,-1,-1,-1,3.75,5.8,6.5
01059397,khxh,7.4,6.25,6.75,-1,-1,-1,6.25,3.8,7.5
01059398,khxh,8.2,8,7,-1,-1,-1,7.25,8.2,7.75
01059399,khxh,4.4,5.75,8.5,-1,-1,-1,7,1.4,8.75
01059400,khxh,7,6.75,7,-1,-1,-1,7.75,4.4,8.25
01059401,khxh,7.4,9.25,7,-1,-1,-1,7,8.6,8.5
01059402,khxh,4,9,7.25,-1,-1,-1,5,8.4,7.75
01059403,khxh,7.4,8,5,-1,-1,-1,6,8.4,6.25
01059404,khtn,6.8,5.25,4.4,6.5,2.5,8.5,-1,-1,-1
01059405,khtn,6.2,2.25,3.2,3.5,4,7.25,-1,-1,-1
01059406,khtn,7.4,2,6.8,8.5,3.5,6.25,-1,-1,-1
01059407,khtn,6.4,4.25,4.8,6.5,3,7.25,-1,-1,-1
01059408,khtn,8.6,9.5,8,9.5,5.25,8.25,-1,-1,-1
01059409,khtn,8.8,5.5,7.4,7.75,4.25,7,-1,-1,-1
01059410,khtn,8.2,4.5,9.2,8,4,7.75,-1,-1,-1
01059411,khtn,8.4,8.25,4.8,6.25,7.25,6.5,-1,-1,-1
01059412,khtn,8,6,4.2,6.25,4.25,6.25,-1,-1,-1
01059413,khtn,7.6,3.5,5.2,6.75,3.5,7,-1,-1,-1
01059414,khtn,8.4,8,2.6,5,4.25,6.25,-1,-1,-1
01059415,khxh,6.6,7.25,7.75,-1,-1,-1,6.75,3.2,8.25
01059416,khtn,8,8.25,5.4,8.25,5.5,5.5,-1,-1,-1
01059417,khtn,8.6,9,4,4.25,7.75,6,-1,-1,-1
01059418,khtn,7.2,4.75,5,6.25,4.5,5,-1,-1,-1
01059419,khtn,8.6,3.25,8.4,8.5,3.75,4.25,-1,-1,-1
01059420,khtn,6,2.5,6.8,4.25,4,4.75,-1,-1,-1
01059421,khtn,7.8,6.5,4,7.75,4.5,5.75,-1,-1,-1
01059422,khtn,7.8,6.25,2.8,7.75,3.5,6.5,-1,-1,-1
01059423,khtn,8.2,8,5.6,8.75,5.25,5,-1,-1,-1
01059424,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01059425,khtn,8,6.5,3.4,6.5,4.25,7,-1,-1,-1
01059426,khtn,8.2,8,5.4,8.25,4,7,-1,-1,-1
